name,address,phone,hours
Araz Şərifzadə-2,"Yasamal rayonu, Abbas Mirzə Şərifzadə küçəsi",055 333 57 28,08:00 - 23:00
Araz Neapol-2,"Xətai rayonu, Əhmədli qəsəbəsi, General Əliağa Şıxlinski küç. 03",055 333 42 45,08:00 - 23:00
Araz Nərimanov-9,"Nərimanov rayonu, İsmayıl Hidayətzadə küçəsi",055 333 58 43,08:00 - 23:00
Araz Əhmədli-9,"Xətai rayonu, Əhmədli qəsəbəsi, Q.Nəbi küçəsi 9C",055 333 58 83,24\7
Araz Möhsün Sənani-3,"Nərimanov rayonu, Möhsün Sənani küç. 17,19  ",055 253 33 92,08:00 - 23:00
Araz Bakıxanov-8,"Sabunçu rayonu, Bakıxanov qəsəbəsi, Nizami İsmayılov küçəsi",055 253 28 48,08:00 - 23:00
Araz Siyəzən-1,"Siyəzən şəhəri, Heydər Əliyev prospekti",055 253 28 98,08:00 - 23:00
Araz Şərifzadə-4,"Yasamal rayonu, İsfəndiyar Zülalov küç.ev 19",055 201 24 38,08:00 - 23:00
Araz Biləcəri-6,"Binəqədi rayonu, Biləcəri qəsəbəsi, Asəf Zeynalov küçəsi",055 202 67 59,24\7
Araz Sumqayıt-10,"Sumqayıt şəhəri, H.Əliyev pr 49. 34-cü məhəllə",055 204 24 83,08:00 - 23:00
Araz Nargilə-4,"Xətai rayonu, Zığ yolu, 1723-cü keçid, 2950-51-ci məhəllə",055 201 24 76,08:00 - 23:00
Araz Şərifzadə-3,"Yasamal rayonu , A.M.Şərifzadə küç-44",055 251 54 02,08:00 - 23:00
Araz Neftçilər-3,"Nizami rayonu, M.Abbasov küç. 2538 məh",055 252 26 51,08:00 - 23:00
Araz Xırdalan-8,"Xırdalan şəhəri, Quşçuluq y/m, 20-ci küçə, ev 25 ",055 253 24 13,08:00 - 23:00
Araz Biləcəri-7,"Binəqədi rayonu , Biləcəri qəsəbəsi,  A.Zeynallı küçəsi, Döngə 2 ev 2",055 202 67 59,08:00 - 23:00
Araz Qutqaşınlı-2,"Yasamal rayonu, İsmayıl bəy Qutqaşınlı küçəsi  ",055 900 28 78,08:00 - 23:00
Araz Xətai-3,"Bakı şəhəri , Xətai r-nu, Xocalı pr-ti 29              ",055 900 08 37,08:00 - 23:00
Araz Biləcəri-8,"Bakı ş., Binəqədi r-nu,Biləcəri qəs., Sumqayıt şos-si., R.İsmayılov küç. 11G ",055 900 08 49,08:00 - 23:00
Araz Nargile-5,"Bakı ş., Xətai r-nu, Cavanşir küç. 36         ",055 900 28 72,07:00 - 00:00
Araz Cavanşir-1,"Bakı ş., Xətai r-nu, Cavanşir küç. 30B",055 333 47 36,08:00 - 23:00
Araz Günəşli-6,"Bakı ş., Suraxanı r-nu, Y/Günəşli qəs., D massivi, Shams (Şəms) Residence ",055 333 43 52,08:00 - 23:00
Araz Nərimanov-10,"Bakı ş., Nərimanov r-nu, Təbriz və Həsənoğlu küç. kəsişməsi    Whitestone deyilən",055 333 43 72,7\24
Araz 9 mkr-3,"Bakı ş., Binəqədi r-nu, 9 mkr., A.Məmmədov küç. ev 11, mən. 4 ",055 900 08 64,08:00 - 23:00
Bakıxanov-6 Superstore,"Bakı şəhəri, Sabunçu rayonu, Muxtar Fətəliyev",055 900 36 13,08:00 - 23:00
Araz Ceyhun Hacıbəyli-2,"Bakı ş., Nəsimi r-nu, C.Hacıbəyli küç. 39A ",055 900 36 29,08:00 - 23:00
Araz Azadlıq-4,"Bakı ş., Nəsimi r-nu, S.Rüstəm küç. 141 Qarant deyilən",055 900 36 65,08:00 - 23:00
Araz Ramana-2,"Bakı ş., Sabunçu r-nu, Ramana qəs., Şuşa küç-Ramana Pətək",055 900 36 54,08:00 - 23:00
Araz Pirşaği-1,"Bakı ş., Sabunçu(Pirşağı) Həsən Əliyev küç,",055 204 96 88,08:00 - 23:00
Araz Qaraçuxur-3,"Suraxanı rayonu, Qaraçuxur qəsəbəsi, Z. Şərifov küçəsi 22.",012924,08:00 - 23:00
Araz Binəqədi-4,"Bakı şəhəri, Binəqədi rayonu, Binəqədi ştq mərkəzi ev.-m. Binəqədi qəsəbəsi ərazisi.",012924,08:00 - 23:00
Araz Həzi Aslanov-4,"Bakı şəhəri, Xətai rayonu, 4-cü dairəvi küçəsi 27.",012924,08:00 - 23:00
Araz Neftçilər-4,"Nizami rayonu, Nəsimi küçəsi 112a.",012924,08:00 - 23:00
Araz Ağcəbədi-1,Ağcəbədi rayonu Tofiq Qasımov küçəsi,055 204 96 88,08:00 - 23:00
Araz Buzovna-5,"Bakı şəh. Xəzər r-nu., Buzovna qəs.,E.Bünyadov küç. Ev 26",055 204 96 20,07:00 - 00:00
Araz Ucar-1,Ucar r-nu Qarabörk ev.-m,924,08:00 - 23:00
Araz Laçın-1,Laçın şəhəri,924,08:00-23:00
Araz Mərdəkan-2,"Bakı ş., Xəzər r., Mərdəkan ŞTQ Sergey Yesenin (Mərdəkan Qəs.) ev.8H və 8km",924,24/7
Araz Xətai-5,Bakı ş.Xətai r-nu 8 noyabr ev.23 m. 1,924,08:00-23:00
Araz Zabrat-3,"Sabunçu rayonu, Zabrat qəsəbəsi, Nəsibə Zeynalova 552",924,08:00-23:00
Araz Zirə-2,Baki şəhəri Xəzər rayonu Zirə qəsəbəsi 57ci Zirə küç. 19\t,924,08:00-23:00
Araz Sumqayıt-11,"Sumqayıt şəh., Sumqayıt Dəmir yolu yaşayış sahəsi ev.-m Azərbaycan dəmir yolu yük heyəti massivi",924,08:00-23:00
Araz Pirallahı-2,"Pirallahı rayonu, Səməd Vurğun küçəsi 3.",924,08:00-23:00
Araz Pirallahı-1,Pirallahı rayonu K.Rzayev küçəsi,924,08:00-23:00
Araz Xəzər-4,Bakı şəh. Xətai ray. Gəncə pr 2930-cu məhəllə,924,08:00-23:00
Araz Yeni Yasamal-3,Bakı şəh. Yasamal ray. Ümud Əkbərov küç. 81,924,08:00-23:00
Araz Binəqədi-5,Bakı şəh. Binəqədi ray. Binəqədi qəs. Gülməmməd Ramazanov küç. 41,924,08:00-23:00
Araz 7-ci mkr-5,Bakı şəh. Binəqədi ray. 7-ci mkr A.Kunanbayev küç 3121ci məhəllə 78P saylı sahə,924,08:00-23:00
Araz Yeni Yasamal-4,"Yasamal rayonu, Müstəqillik küçəsi, ev 25. ",924,08:00-23:00
Araz Ə. Əliəşrəf-1,Bakı şəh. Nərimanov ray. Ələşrəf Əlizadə küç,924,08:00-23:00
