name,address,phone,hours,latitude,longitude
Tamstore Qaraçuxur (Super),"Suraxanı rayonu, Qaraçuxur qəsəbəsi, Cəlal qurbanov küçəsi, 104 nömrli məktəbin yaxınlığı",*8700,24 saat,40.39861697144246,49.973541076010136
Tamstore Biləcəri 2 (City),"Biləcəri qəsəbəsi, Xudadat Məlikaslanov küçəsi 5C",*8700,24 saat,40.44108197143568,49.805786076012204
Tamstore Keşlə (Super),"Bakı şəhəri, Keşlə qəsəbəsi, 24 Abdulla Mirzəyev küçəsi",*8700,24 saat,40.396483971442926,49.88718007600986
Tamstore Biləcəri 1 (Super),"Bakı şəhəri, Biləcəri qəsəbəsi, Rəşid İsmayılov küçəsi",*8700,24 saat,40.42162785534208,49.79646987548322
Tamstore Xətai (Super),"Bakı şəhəri, Həsən Salmani küçəsi 5",*8700,24 saat,40.3814784577854,49.86031817514799
Tamstore Sumqayıt (Mini),"Sumqayıt şəhəri, Bakı küçəsi",*8700,24 saat,40.58226797141339,49.66565307601922
Tamstore Xocəsən (Mini),"Bakı şəhəri, Xocəsən qəsəbəsi, Dairəvi yolu",*8700,24 saat,40.42426697143841,49.77674907601136
Tamstore Sulutəpə (City),"Bakı şəhəri, Sulutəpə qəsəbəsi, Şahlar Allahverdiyev",*8700,24 saat,40.431277971437254,49.76678107601175
Tamstore Mingəçevir 2 (City),"Mingəçevir 2 / City market - Mingəçevir şəhəri, Şah İsmayıl Xətai küçəsi",*8700,24 saat,40.75707112571723,47.06320779814418
Tamstore Ağcabədi (Super),"Ağcabədi rayonu, Heydər Əliyev prospekti, 64, Mədəniyyət bağının yaxınlığı",*8700,24 saat,40.0485267715012,47.45573807599275
Tamstore Zirə (City),"Zirə qəsəbəsi, Cəlal Əliyev küçəsi, Zirə bazarının yaxınlığı",*8700,24 saat,40.371433271446904,50.281990076008796
Tamstore Buzovna (Super),"Buzovna qəs., Heydər Eyvazov küçəsi, ""Mədəniyyət və Sənətkarlıq üzrə Bakı Dövlət Peşə Təhsil Mərkəzi"" yaxınlığı",*8700,24 saat,40.518898,50.1048508
Tamstore Günəşli (Super),"Suraxanı ray., Yeni Günəşli qəs., İlqar Musayev küçəsi, ""Qartal"" heykəlinin yaxınlığı",*8700,24 saat,40.38594125247242,49.97488979377943
Tamstore Bayıl (Super),"Səbail ray., Bayıl qəs., Neftçi Qurban Abbasov küçəsi 44., 33 Nömrəli şəhər poliklinikasının yaxınlığı",*8700,24 saat,40.3471702,49.8367731
Tamstore Novxanı (Super),Abseron r. Novxani kəndi -Super,*8700,24 saat,40.535826888557345,49.780402212761835
Tamstore Sumqayıt 4 (Super),"Sumqayıt şəh., 6-cı Mikrorayon",*8700,24 saat,40.58005861256432,49.68755829633201
Tamstore Sumqayıt 3 (Super),"Sumqayıt şəh., 20 Yanvar küçəsi",*8700,24 saat,40.58797447141252,49.66482547601946
Tamstore Mingəçevir 3 (Mini),"Mingəçevir 3 - Mini market / Mingəçevir şəhəri, 13 Nizami küçəsi, 1941-1945 parkı yaxınlığı",*8700,24 saat,40.761571,47.058537
Tamstore Nərimanov (City),"Bakı şəhəri, Nərimanov rayonu, 2b Həsənoğlu küçəsi",*8700,24 saat,40.39735397144256,49.86718407601011
Tamstore Mingəçevir 1 (Super),"Mingəçevir 1 / Supermarket - Müslüm Magomayev prospekti, “Mingəçevir Dövlət Dram Teatrı”ın arxası",*8700,24 saat,40.767285,47.045997
Tamstore Şəmkir (Super),"Şəmkir rayonu, 20 Yanvar döngəsi, “Şəmkir” bazarının yaxınlığı",*8700,24 saat,40.826460999999995,46.030856
Tamstore Qaraçuxur 2 (Super),"Suraxanı ray., Qaraçuxur qəs., Zaur Şərifov küçəsi 47 A, “Qaraçuxur 1” filialı və “Veteranlar” parkı yaxınlığı",*8700,24 saat,40.40149688720703,49.97477340698242
Tamstore Şamaxinka 2 (Super),"Yasamal ray., 2-ci Alatava qəs., Moskva pr. Main MTK",*8700,24 saat,40.41241837144033,49.7995223760108
Tamstore Ağdaş (Super),"Ağdaş rayonu, Heydər Əliyev pr, Bazarın yaxınlığı",*8700,24 saat,40.64042277140446,47.467807776022205
Tamstore Xırdalan 3 (Super),"Xırdalan şəh., Heydər Əliyev pr., 11",*8700,24 saat,40.44570415312133,49.75131099895339
Tamstore Neftçilər 2 (Super),"Nizami ray., 8-ci km qəs., Qara Qarayev pr. 8-ci km bazarı yaxınlığı",*8700,24 saat,40.406284271441294,49.943820976010436
Tamstore Qaradağ (Super),"Qaradağ rayonu, sahil qəsəbəsi, Bakı-Ələt yolunun 25-ci kilometrliyi",*8700,24 saat,40.24278997146812,49.59731307600235
Tamstore Əhmədli (Super),"Əhmədli qəsəbəsi, Qaçaq Nəbi küçəsi, 47A",*8700,24 saat,40.39129297144369,49.95686707600969
